call time  cumulative   self        calls
     ms   seconds   seconds           name
   0.249     3.92      3.92      15730 Sprite_Character#update#174#return#Sprite_Character
   0.074     5.46      1.54      20800 Game_Character#update#272#return#Game_Character
   0.055     6.60      1.13      20670 Game_Event#update#306#return#Game_Event_
   0.052     7.41      0.81      15730 RPG::Sprite#x=#513#return#RPG__Sprite
   0.048     8.16      0.75      15470 Game_Event#screen_z#52#return#Game_Event_
   0.045     8.87      0.71      15730 RPG::Sprite#update#490#return#RPG__Sprite
   0.045     9.57      0.71      15730 RPG::Sprite#y=#524#return#RPG__Sprite
   0.073    10.26      0.69       9490 Game_Character#bush_depth#226#return#Game_Character
   0.044    10.95      0.69      15730 Object#pbDayNightTint2#150#return#PokemonTime
   0.019    11.56      0.61      31460 Game_Character#screen_y_ground#198#return#Game_Character
   0.037    12.13      0.57      15730 Game_Character#screen_y#194#return#Game_Character
   0.027    12.69      0.56      20800 Game_Character#update_stop#332#return#Game_Character
   0.026    13.24      0.55      20800 Game_Character#update_pattern#285#return#Game_Character
   4.208    13.79      0.55        130 Spriteset_Map#update#248#return#Spriteset_Map
   0.048    14.24      0.46       9490 Game_Map#deepBush?#348#return#Game_Map_
   0.048    14.67      0.43       8840 Game_Map#bush?#360#return#Game_Map_
   3.000    15.06      0.39        130 Game_Map#update#481#return#Game_Map_
   0.039    15.43      0.37       9490 GifBitmap#update#580#return#SpriteWindow
   0.023    15.79      0.36      15730 Game_Character#screen_x#180#return#Game_Character
   0.008    16.15      0.36      43030 Game_Character#moving?#68#return#Game_Character
   0.005    16.49      0.34      71760 Game_Character#map#24#return#Game_Character
   0.021    16.82      0.33      15730 Sprite#x=#249#return#SpriteResizer
   0.019    17.11      0.29      15730 Sprite#y=#278#return#SpriteResizer
   0.017    17.39      0.28      16900 Game_Event#graphicalNow?#314#return#Game_Event_
   0.026    17.65      0.25       9490 AnimatedBitmap#update#178#return#SpriteWindow
   0.014    17.86      0.22      15860 PBDayNight#getTone#97#return#PokemonTime
   0.308    18.06      0.20        650 Sprite_Character#pbBushDepthBitmap#59#return#Sprite_Character
   0.010    18.26      0.20      20800 Game_Character#lock?#145#return#Game_Character
